Code,lon,lat
NHMV,12.683343,53.514879
HGU,87.268998,53.510583
TMAL,-2.0989,53.488762
CAFB,-113.541253,53.4884
CFB,-113.541253,53.4884
GSU,28.78,53.48
PVB,49.357971,53.477829
MANCH,-2.22846,53.46096
SZUB,14.544503,53.436522
SZCZ,14.5352,53.43475
SKT,-2.143112,53.41035
LIV,-2.97855,53.409359
UADBG,-113.757655,53.407559
TCDL,-6.12893,53.39904
BHDL,-3.032125,53.385933
BHDS,-3.053851,53.385335
ZHR,50.163624,53.384593
HUUD,-6.257572222,53.37171667
DBN,-6.271538,53.371375
LTH,-0.00438,53.366638
LCVA,-110.859764,53.358498
TCD,-6.251861,53.343994
BAT,-1.25,53.333328
ALTB,83.769638,53.33017
SSHZ,91.949743,53.317114
BRSU,34.3048096,53.3079034
GALW,-9.060169,53.27788
LCN,-0.53333,53.23333
UCNW,-4.140306,53.225388
VU,36.768856,53.22345
SMR,50.1728,53.2221
KSPI,63.632128,53.216731
FNM,5.762931,53.203261
PKM,44.994553,53.18367
NABG,31.466669,53.166672
OLD,8.16807,53.151299
BYDG,18.13225,53.139111
LMO,8.218975,53.134369
BREM,8.81048,53.082333
NWK,-0.803206,53.078947
STO,-2.17768,53.023285
TRN,18.568551,53.022155
KAM,158.651574,53.015439
NGM,-1.152197,52.953547
NOT,-1.209526,52.947707
DBY,-1.480181,52.92332
DOR,-1.480317,52.923005
HFN,5.968724,52.902994
TDH,5.98981,52.896765
VORG,50.449348,52.839798
RPTN,-1.55,52.833328
WRN,-1.631785,52.779606
UTLH,-1.2,52.76667
CSVFC,-2.75208,52.710091
SHYL,-2.75208,52.710091
SHYB,-2.763837,52.703274
BIL,23.87434,52.700119
LIMK,-8.62251,52.667992
WBCH,0.16667,52.666672
LSR,-1.125396,52.659378
NWH,1.297261,52.628873
NCCN,1.29834,52.627831
LTR,-1.124543,52.622497
JII,1.221292,52.622301
CDN,-2.11667,52.599998
MHWK,-2.55,52.599998
PBH,-0.25,52.583328
STG,-1.4,52.566669
BHUPM,13.378702,52.529828
OLE,-0.46667,52.48333
BRFL,-1.904352,52.48008
BIRA,-1.90361,52.479622
POZA,16.925278,52.467025
B,13.30486,52.458278
BSB,13.302627,52.457052
BHU,13.473164,52.454254
BIRM,-1.91876,52.449638
POZG,16.92733,52.443249
POZW,16.92733,52.443249
WPBS,-4.017265,52.433464
POZNB,16.886629,52.427689
ABS,-4.066709,52.415736
POZ,16.91811,52.4095
POZM,16.91811,52.4095
COV,-1.504553,52.4065
KTG,-0.727512,52.395856
KDR,-2.314695,52.375668
LDL,-2.716884,52.36927
DZS,-0.37495,52.325661
TSTN,0.78154,52.31422
IRK,104.237823,52.308102
NWT,-1.04022,52.308094
WARMS,-1.59063,52.281681
IRKU,104.388893,52.268059
OSBU,8.049636,52.260578
KOR,17.087639,52.254017
BSE,0.71111,52.2463
OSN,8.06835,52.24617
NMN,-0.891612,52.237037
NTN,-0.894152,52.236219
WA,21.023748,52.225288
WABG,21.0284328,52.2170732
CIECRO,0.11224,52.212846
AAS,0.08011,52.212708
CAM,0.117797,52.208524
WOS,-2.222334,52.196379
CGE,0.127773,52.194743
CGG,0.126386,52.193219
ABL,5.284966,52.173889
WSRP,22.28826,52.17234
WAUF,21.048512,52.161896
AMD,4.48336,52.156624
L,4.48336,52.156624
U,4.48336,52.156624
