"family","species","lon","lat"
"Malvaceae","Bombax costatum",2.5702,6.9181
"Malvaceae","Bombax costatum",2.5394,7.0025
"Malvaceae","Bombax costatum",2.6072,7.003
"Malvaceae","Bombax costatum",2.5743,7.0941
"Malvaceae","Bombax costatum",2.579,6.9596
"Malvaceae","Bombax costatum",2.5786,6.9602
"Malvaceae","Bombax costatum",2.6279,6.9959
"Malvaceae","Bombax costatum",2.6281,6.9952
"Malvaceae","Bombax costatum",2.6279,6.9953
"Malvaceae","Bombax costatum",2.628,6.9957
"Malvaceae","Bombax costatum",2.6215,7.0835
"Malvaceae","Bombax costatum",2.6222,7.0833
"Malvaceae","Bombax costatum",2.6214,7.0841
"Malvaceae","Bombax costatum",2.6217,7.0831
"Malvaceae","Bombax costatum",2.6126,6.8643
"Malvaceae","Bombax costatum",2.6127,6.8647
"Malvaceae","Bombax costatum",2.6938,7.3189
"Malvaceae","Bombax costatum",2.716,7.2113
"Malvaceae","Bombax costatum",2.3125,8.4076
"Malvaceae","Bombax costatum",2.3418,8.5566
"Malvaceae","Bombax costatum",2.8956,12.3035
"Malvaceae","Bombax costatum",2.6373,8.366
"Malvaceae","Bombax costatum",3.1452,11.0383
"Malvaceae","Bombax costatum",2.4105,6.6939
"Malvaceae","Bombax costatum",2.455,6.6294
"Malvaceae","Bombax costatum",2.4547,6.6292
"Malvaceae","Bombax costatum",2.5067,6.5754
"Malvaceae","Bombax costatum",2.4628,6.6284
"Malvaceae","Bombax costatum",1.2938,10.3202
"Malvaceae","Bombax costatum",1.4243,10.8737
"Malvaceae","Bombax costatum",1.3549,10.1126
"Malvaceae","Bombax costatum",1.565,9.2503
"Malvaceae","Bombax costatum",1.2932,10.6562
"Malvaceae","Bombax costatum",1.4575,9.4042
"Malvaceae","Bombax costatum",1.4773,10.9546
"Malvaceae","Bombax costatum",1.4795,10.3471
"Malvaceae","Bombax costatum",1.4966,9.3041
"Malvaceae","Bombax costatum",1.8297,7.3903
"Malvaceae","Bombax costatum",2.3073,11.4067
"Malvaceae","Bombax costatum",1.4303,9.3938
"Malvaceae","Bombax costatum",1.9271,8.1153
"Malvaceae","Bombax costatum",1.9714,8.1135
"Malvaceae","Bombax costatum",2.0913,6.8915
"Malvaceae","Bombax costatum",1.6529,9.0818
"Malvaceae","Bombax costatum",2.1826,8.0017
"Malvaceae","Bombax costatum",1.6969,9.3163
"Malvaceae","Bombax costatum",2.1857,7.0263
"Malvaceae","Bombax costatum",2.2665,6.7108
"Malvaceae","Bombax costatum",2.2181,7.8935
"Malvaceae","Bombax costatum",1.72885,8.72806
"Malvaceae","Bombax costatum",1.73042,8.67649
"Malvaceae","Bombax costatum",2.18363,9.15581
"Malvaceae","Bombax costatum",2.18538,9.14213
"Malvaceae","Bombax costatum",2.089535,7.731443
"Malvaceae","Bombax costatum",2.089384,7.712643
"Malvaceae","Bombax costatum",2.14911,7.420236
"Malvaceae","Bombax costatum",1.6526,9.08189
"Malvaceae","Bombax costatum",1.4294,9.39382
"Malvaceae","Bombax costatum",1.4966,9.30414
"Malvaceae","Bombax costatum",1.5646,9.25033
"Malvaceae","Bombax costatum",1.6945,9.31639
"Malvaceae","Bombax costatum",2.316775,7.725972
"Malvaceae","Bombax costatum",1.457,9.40431
"Malvaceae","Bombax costatum",1.995883,8.031472
"Malvaceae","Bombax costatum",2.013488,8.031463
"Malvaceae","Bombax costatum",2.01393,8.22977
"Malvaceae","Bombax costatum",2.01438,8.22938
"Malvaceae","Bombax costatum",1.987942,7.999985
"Malvaceae","Bombax costatum",2.01475,8.2286
"Malvaceae","Bombax costatum",1.988231,8.000254
"Malvaceae","Bombax costatum",1.995543,8.031154
"Malvaceae","Bombax costatum",2.01467,8.22858
"Malvaceae","Bombax costatum",2.01453,8.22908
"Malvaceae","Bombax costatum",2.023274,8.030866
"Malvaceae","Bombax costatum",2.022711,8.030641
"Malvaceae","Bombax costatum",2.02281,8.031553
"Malvaceae","Bombax costatum",2.023523,8.031253
"Malvaceae","Bombax costatum",2.0148,8.22884
"Malvaceae","Bombax costatum",2.022437,8.030469
"Malvaceae","Bombax costatum",2.01496,8.22846
"Malvaceae","Bombax costatum",2.022711,8.030889
"Malvaceae","Bombax costatum",2.023807,8.031696
"Malvaceae","Bombax costatum",2.03216,8.21168
"Malvaceae","Bombax costatum",2.03248,8.21145
"Malvaceae","Bombax costatum",2.08794,7.712284
"Malvaceae","Bombax costatum",2.070166,7.712559
"Malvaceae","Bombax costatum",2.0881,7.722757
"Malvaceae","Bombax costatum",2.089105,7.712345
"Malvaceae","Bombax costatum",2.03254,8.21167
"Malvaceae","Bombax costatum",2.03257,8.2111
"Malvaceae","Bombax costatum",2.03267,8.21152
"Malvaceae","Bombax costatum",2.070068,7.712129
"Malvaceae","Bombax costatum",2.089123,7.713968
"Malvaceae","Bombax costatum",1.72755,8.72807
"Malvaceae","Bombax costatum",1.72962,8.67731
"Malvaceae","Bombax costatum",1.73042,8.67653
"Malvaceae","Bombax costatum",1.72565,8.72814
"Malvaceae","Bombax costatum",1.49111,9.23889
"Malvaceae","Bombax costatum",1.48237,9.23951
"Malvaceae","Bombax costatum",1.49141,9.23076
"Malvaceae","Bombax costatum",1.4912,9.23878
"Malvaceae","Bombax costatum",1.49261,9.25694
"Malvaceae","Bombax costatum",1.50019,9.2399
"Malvaceae","Bombax costatum",1.49204,9.24833
"Malvaceae","Bombax costatum",1.49181,9.24755
"Malvaceae","Bombax costatum",1.49199,9.24759
"Malvaceae","Bombax costatum",1.49209,9.24815
"Malvaceae","Bombax costatum",1.951337,8.000562
"Malvaceae","Bombax costatum",1.960221,7.94575
"Malvaceae","Bombax costatum",1.969672,7.992209
"Malvaceae","Bombax costatum",1.978959,8.000429
"Malvaceae","Bombax costatum",1.977576,8.000014
"Malvaceae","Bombax costatum",1.952406,8.000806
"Malvaceae","Bombax costatum",1.959779,7.945699
"Malvaceae","Bombax costatum",1.952567,8.000637
"Malvaceae","Bombax costatum",1.960138,7.998679
"Malvaceae","Bombax costatum",1.986972,7.998975
"Malvaceae","Bombax costatum",1.63099,9.3232
"Malvaceae","Bombax costatum",1.6131,9.31397
"Malvaceae","Bombax costatum",1.59447,9.32241
"Malvaceae","Bombax costatum",1.61233,9.30467
"Malvaceae","Bombax costatum",1.60464,9.32353
